breaker|၁၃၆၈-ခုႏွစ္ ၊ ပါရာဇိကဏ္၀ါက်မ်ား
021.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/021.mp3|အပိုင္း-၂၁
022.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/022.mp3|အပိုင္း-၂၂
023.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/023.mp3|အပိုင္း-၂၃
024.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/024.mp3|အပိုင္း-၂၄
025.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/025.mp3|အပိုင္း-၂၅
026.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/026.mp3|အပိုင္း-၂၆
027.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/027.mp3|အပိုင္း-၂၇
028.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/028.mp3|အပိုင္း-၂၈
029.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/029.mp3|အပိုင္း-၂၉
030.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/030.mp3|အပိုင္း-၃၀
031.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/031.mp3|အပိုင္း-၃၁
032.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/032.mp3|အပိုင္း-၃၂
033.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/033.mp3|အပိုင္း-၃၃
034.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/034.mp3|အပိုင္း-၃၄
035.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/035.mp3|အပိုင္း-၃၅
036.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/036.mp3|အပိုင္း-၃၆
037.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/037.mp3|အပိုင္း-၃၇
038.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/038.mp3|အပိုင္း-၃၈
039.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/039.mp3|အပိုင္း-၃၉
040.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/040.mp3|အပိုင္း-၄၀
041.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/041.mp3|အပိုင္း-၄၁
042.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/042.mp3|အပိုင္း-၄၂
043.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/043.mp3|အပိုင္း-၄၃
044.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/044.mp3|အပိုင္း-၄၄
045.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/045.mp3|အပိုင္း-၄၅
046.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/046.mp3|အပိုင္း-၄၆
047.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/047.mp3|အပိုင္း-၄၇
048.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/048.mp3|အပိုင္း-၄၈
049.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/049.mp3|အပိုင္း-၄၉
050.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/050.mp3|အပိုင္း-၅၀
051.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/051.mp3|အပိုင္း-၅၁
052.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/052.mp3|အပိုင္း-၅၂
053.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/053.mp3|အပိုင္း-၅၃
054.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/054.mp3|အပိုင္း-၅၄
055.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/055.mp3|အပိုင္း-၅၅
056.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/056.mp3|အပိုင္း-၅၆
057.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/057.mp3|အပိုင္း-၅၇
058.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/058.mp3|အပိုင္း-၅၈
059.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/059.mp3|အပိုင္း-၅၉
060.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/060.mp3|အပိုင္း-၆၀
061.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/061.mp3|အပိုင္း-၆၁
062.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/062.mp3|အပိုင္း-၆၂
063.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/063.mp3|အပိုင္း-၆၃
064.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/064.mp3|အပိုင္း-၆၄
065.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/065.mp3|အပိုင္း-၆၅
066.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/066.mp3|အပိုင္း-၆၆
067.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/067.mp3|အပိုင္း-၆၇
068.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/068.mp3|အပိုင္း-၆၈
069.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/069.mp3|အပိုင္း-၆၉
070.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/070.mp3|အပိုင္း-၇၀
071.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/071.mp3|အပိုင္း-၇၁
072.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/072.mp3|အပိုင္း-၇၂
073.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/073.mp3|အပိုင္း-၇၃
074.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/074.mp3|အပိုင္း-၇၄
075.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/075.mp3|အပိုင္း-၇၅
076.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/076.mp3|အပိုင္း-၇၆
077.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/077.mp3|အပိုင္း-၇၇
078.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/078.mp3|အပိုင္း-၇၈
079.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/079.mp3|အပိုင္း-၇၉
080.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/080.mp3|အပိုင္း-၈၀
081.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/081.mp3|အပိုင္း-၈၁
082.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/082.mp3|အပိုင္း-၈၂
083.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/083.mp3|အပိုင္း-၈၃
084.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/084.mp3|အပိုင္း-၈၄
085.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/085.mp3|အပိုင္း-၈၅
086.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/086.mp3|အပိုင္း-၈၆
087.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/087.mp3|အပိုင္း-၈၇
088.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/088.mp3|အပိုင္း-၈၈
089.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/089.mp3|အပိုင္း-၈၉
090.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/090.mp3|အပိုင္း-၉၀
091.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/091.mp3|အပိုင္း-၉၁
092.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/092.mp3|အပိုင္း-၉၂
093.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/093.mp3|အပိုင္း-၉၃
094.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/094.mp3|အပိုင္း-၉၄
095.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/095.mp3|အပိုင္း-၉၅
096.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/096.mp3|အပိုင္း-၉၆
097.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/097.mp3|အပိုင္း-၉၇
098.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/098.mp3|အပိုင္း-၉၈
099.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/099.mp3|အပိုင္း-၉၉
100.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/100.mp3|အပိုင္း-၁၀၀
101.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/101.mp3|အပိုင္း-၁၀၁
102.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/102.mp3|အပိုင္း-၁၀၂
103.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/103.mp3|အပိုင္း-၁၀၃
104.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/104.mp3|အပိုင္း-၁၀၄
105.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/105.mp3|အပိုင္း-၁၀၅
106.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/106.mp3|အပိုင္း-၁၀၆
107.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/107.mp3|အပိုင္း-၁၀၇
108.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/108.mp3|အပိုင္း-၁၀၈
109.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/109.mp3|အပိုင္း-၁၀၉
110.mp3|https://media.thitsarparamisociety.com/mp3/1368parazikan/110.mp3|အပိုင္း-၁၁၀
breaker|၁၃၆၉-ခုႏွစ္ ၊ ပါရာဇိကဏ္၀ါက်မ်ား
111.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/001.mp3|အပိုင္း-၁
112.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/002.mp3|အပိုင္း-၂
113.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/003.mp3|အပိုင္း-၃
114.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/004.mp3|အပိုင္း-၄
115.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/005.mp3|အပိုင္း-၅
116.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/006.mp3|အပိုင္း-၆
117.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/007.mp3|အပိုင္း-၇
118.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/008.mp3|အပိုင္း-၈
119.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/009.mp3|အပိုင္း-၉
120.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/010.mp3|အပိုင္း-၁၀
121.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/011.mp3|အပိုင္း-၁၁
122.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/012.mp3|အပိုင္း-၁၂
123.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/013.mp3|အပိုင္း-၁၃
124.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/014.mp3|အပိုင္း-၁၄
125.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/015.mp3|အပိုင္း-၁၅
126.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/016.mp3|အပိုင္း-၁၆
127.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/017.mp3|အပိုင္း-၁၇
128.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/018.mp3|အပိုင္း-၁၈
129.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/019.mp3|အပိုင္း-၁၉
130.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/020.mp3|အပိုင္း-၂၀
131.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/021.mp3|အပိုင္း-၂၁
132.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/022.mp3|အပိုင္း-၂၂
133.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/023.mp3|အပိုင္း-၂၃
134.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/024.mp3|အပိုင္း-၂၄
135.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/025.mp3|အပိုင္း-၂၅
136.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/026.mp3|အပိုင္း-၂၆
137.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/027.mp3|အပိုင္း-၂၇
138.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/028.mp3|အပိုင္း-၂၈
139.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/029.mp3|အပိုင္း-၂၉
140.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/030.mp3|အပိုင္း-၃၀
141.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/031.mp3|အပိုင္း-၃၁
142.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/032.mp3|အပိုင္း-၃၂
143.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/033.mp3|အပိုင္း-၃၃
144.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/034.mp3|အပိုင္း-၃၄
145.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/035.mp3|အပိုင္း-၃၅
146.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/036.mp3|အပိုင္း-၃၆
147.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/037.mp3|အပိုင္း-၃၇
148.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/038.mp3|အပိုင္း-၃၈
149.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/039.mp3|အပိုင္း-၃၉
150.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/040.mp3|အပိုင္း-၄၀
151.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/041.mp3|အပိုင္း-၄၁
152.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/042.mp3|အပိုင္း-၄၂
153.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/043.mp3|အပိုင္း-၄၃
154.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/044.mp3|အပိုင္း-၄၄
155.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/045.mp3|အပိုင္း-၄၅
156.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/046.mp3|အပိုင္း-၄၆
157.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/047.mp3|အပိုင္း-၄၇
158.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/048.mp3|အပိုင္း-၄၈
159.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/049.mp3|အပိုင္း-၄၉
160.mp3|https://media.thitsarparamisociety.com/mp3/1369PARYARZIKA/050.mp3|အပိုင္း-၅၀
breaker|၁၃၇၁-ခု၊ စာဝါမ်ား ၁၃၇၁-ခု၊ဓမၼာစရိယအေျခခံ
161.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/001.mp3|အပိုင္း-၁
162.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/002.mp3|အပိုင္း-၂
163.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/003.mp3|အပိုင္း-၃
164.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/004.mp3|အပိုင္း-၄
165.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/005.mp3|အပိုင္း-၅
166.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/006.mp3|အပိုင္း-၆
167.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/007.mp3|အပိုင္း-၇
168.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/008.mp3|အပိုင္း-၈
169.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/009.mp3|အပိုင္း-၉
170.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/010.mp3|အပိုင္း-၁၀
171.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/011.mp3|အပိုင္း-၁၁
172.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/012.mp3|အပိုင္း-၁၂
173.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/013.mp3|အပိုင္း-၁၃
174.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/014.mp3|အပိုင္း-၁၄
175.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/015.mp3|အပိုင္း-၁၅
176.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/016.mp3|အပိုင္း-၁၆
177.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/017.mp3|အပိုင္း-၁၇
178.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/018.mp3|အပိုင္း-၁၈
179.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/019.mp3|အပိုင္း-၁၉
180.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/020.mp3|အပိုင္း-၂၀
181.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/021.mp3|အပိုင္း-၂၁
182.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/022.mp3|အပိုင္း-၂၂
183.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/023.mp3|အပိုင္း-၂၃
184.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/024.mp3|အပိုင္း-၂၄
185.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/025.mp3|အပိုင္း-၂၅
186.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/026.mp3|အပိုင္း-၂၆
187.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/027.mp3|အပိုင္း-၂၇
188.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/028.mp3|အပိုင္း-၂၈
189.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/029.mp3|အပိုင္း-၂၉
190.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/030.mp3|အပိုင္း-၃၀
191.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/031.mp3|အပိုင္း-၃၁
192.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/032.mp3|အပိုင္း-၃၂
193.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/033.mp3|အပိုင္း-၃၃
194.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/034.mp3|အပိုင္း-၃၄
195.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/035.mp3|အပိုင္း-၃၅
196.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/036.mp3|အပိုင္း-၃၆
197.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/037.mp3|အပိုင္း-၃၇
198.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/038.mp3|အပိုင္း-၃၈
199.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/039.mp3|အပိုင္း-၃၉
200.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/040.mp3|အပိုင္း-၄၀
201.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/041.mp3|အပိုင္း-၄၁
202.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/042.mp3|အပိုင္း-၄၂
203.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/043.mp3|အပိုင္း-၄၃
204.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/044.mp3|အပိုင္း-၄၄
205.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/045.mp3|အပိုင္း-၄၅
206.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/046.mp3|အပိုင္း-၄၆
207.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/047.mp3|အပိုင္း-၄၇
208.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/048.mp3|အပိုင္း-၄၈
209.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/049.mp3|အပိုင္း-၄၉
210.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/050.mp3|အပိုင္း-၅၀
211.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/051.mp3|အပိုင္း-၅၁
212.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/052.mp3|အပိုင္း-၅၂
213.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/053.mp3|အပိုင္း-၅၃
214.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/054.mp3|အပိုင္း-၅၄
215.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/055.mp3|အပိုင္း-၅၅
216.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/056.mp3|အပိုင္း-၅၆
217.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/057.mp3|အပိုင္း-၅၇
218.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/058.mp3|အပိုင္း-၅၈
219.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/059.mp3|အပိုင္း-၅၉
220.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/060.mp3|အပိုင္း-၆၀
221.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/061.mp3|အပိုင္း-၆၁
222.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/062.mp3|အပိုင္း-၆၂
223.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/063.mp3|အပိုင္း-၆၃
224.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/064.mp3|အပိုင္း-၆၄
225.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/065.mp3|အပိုင္း-၆၅
226.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/066.mp3|အပိုင္း-၆၆
227.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/067.mp3|အပိုင္း-၆၇
228.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/068.mp3|အပိုင္း-၆၈
229.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/069.mp3|အပိုင္း-၆၉
230.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/070.mp3|အပိုင္း-၇၀
231.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/071.mp3|အပိုင္း-၇၁
232.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/072.mp3|အပိုင္း-၇၂
233.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/073.mp3|အပိုင္း-၇၃
234.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/074.mp3|အပိုင္း-၇၄
235.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/075.mp3|အပိုင္း-၇၅
236.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/076.mp3|အပိုင္း-၇၆
237.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/077.mp3|အပိုင္း-၇၇
238.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/078.mp3|အပိုင္း-၇၈
239.mp3|https://media.thitsarparamisociety.com/mp3/1371SARWAR/1371DAMASARIYAbasic/079.mp3|အပိုင္း-၇၉
